base_asset,mexc_symbol,status
KEKIUS,KEKIUSUSDT,ok:0 candles
KEYCAT,KEYCATUSDT,ok:0 candles
KIBSHI,KIBSHIUSDT,ok:0 candles
KISHU,KISHUUSDT,ok:1095 candles
KOMA,KOMAUSDT,ok:0 candles
LADYS,LADYSUSDT,ok:1095 candles
LIKE,LIKEUSDT,ok:1095 candles
LKY,LKYUSDT,ok:0 candles
LOBO,LOBOUSDT,ok:725 candles
LUCKY,LUCKYUSDT,ok:0 candles
LUNA,LUNAUSDT,ok:1095 candles
MAGA,MAGAUSDT,ok:0 candles
MAJOR,MAJORUSDT,ok:0 candles
MAN,MANUSDT,ok:1095 candles
MANEKI,MANEKIUSDT,ok:787 candles
MANYU,MANYUUSDT,ok:0 candles
MASK,MASKUSDT,ok:1095 candles
MBX,MBXUSDT,ok:1095 candles
ME,MEUSDT,ok:0 candles
MEEP,MEEPUSDT,ok:0 candles
MEGA,MEGAUSDT,ok:0 candles
MELANIA,MELANIAUSDT,ok:0 candles
MEME,MEMEUSDT,ok:961 candles
MEMECOIN,MEMECOINUSDT,ok:0 candles
MEMEFI,MEMEFIUSDT,ok:0 candles
MEMES,MEMESUSDT,ok:0 candles
MET,METUSDT,ok:0 candles
METIS,METISUSDT,ok:1095 candles
MEW,MEWUSDT,ok:808 candles
MGO,MGOUSDT,ok:0 candles
MIGGLES,MIGGLESUSDT,ok:702 candles
MILLI,MILLIUSDT,ok:821 candles
MINDFAK,MINDFAKUSDT,ok:0 candles
MIU,MIUUSDT,ok:0 candles
MOCHI,MOCHIUSDT,ok:937 candles
MOEW,MOEWUSDT,ok:675 candles
MOG,MOGUSDT,ok:856 candles
MOLT,MOLTUSDT,ok:0 candles
MOMO,MOMOUSDT,ok:0 candles
MOODENG,MOODENGUSDT,ok:640 candles
MORI,MORIUSDT,ok:0 candles
MPC,MPCUSDT,ok:751 candles
MTP,MTPUSDT,ok:0 candles
MUBARAK,MUBARAKUSDT,ok:0 candles
MUMU,MUMUUSDT,ok:0 candles
NAI,NAIUSDT,ok:795 candles
NAKA,NAKAUSDT,ok:1095 candles
NEET,NEETUSDT,ok:0 candles
NOBODY,NOBODYUSDT,ok:0 candles
NOM,NOMUSDT,ok:0 candles
NOT,NOTUSDT,ok:766 candles
NPC,NPCUSDT,ok:818 candles
NST,NSTUSDT,ok:0 candles
OMG,OMGUSDT,ok:1095 candles
OMNOM,OMNOMUSDT,ok:1095 candles
ONE,ONEUSDT,ok:1095 candles
ONI,ONIUSDT,ok:0 candles
OOB,OOBUSDT,ok:0 candles
OPEN,OPENUSDT,ok:0 candles
OPTIMUS,OPTIMUSUSDT,ok:1095 candles
ORDI,ORDIUSDT,ok:920 candles
OSAK,OSAKUSDT,ok:628 candles
