symbol,edge_class,suggested_setup_name,entry_condition_human_readable,tp_pct,sl_pct,suggested_leverage_min,suggested_leverage_max
ROSEUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
RWAUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
SAFEUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown, non_positive_expectancy)",,,1.0,1.0
SAIUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown, non_positive_expectancy)",,,1.0,1.0
SAMOUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
SATOUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
SBTCUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
SCOTTYUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
SCUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
SHIBUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
SHIROUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
SIRENUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
SNEKUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
SNSUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
SOHUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
SONICUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
SPELLUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
SQGROWUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
SRCUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal",,,1.0,1.0
SUNCATUSDT,SPIKE_MEAN_REVERSION_EDGE,SpikeShortDaily,"Close > 2.0 stdev above its 20d mean or > 2.0x its 20d median; short at close, hold up to 5d",-27.22,27.22,1.0,1.0
SUNDOGUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown, non_positive_expectancy)",,,1.0,1.0
SUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: low_hit_rate, pnl_dominated_by_one_trade, non_positive_expectancy)",,,1.0,1.0
TAPUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
TCAPYUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TESTICLEUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
THEUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TMOONUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TONNYUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TOPUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown)",,,1.0,1.0
TOSHIUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TREATUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TREEUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TRIPLETUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TROLLUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
TRTUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown)",,,1.0,1.0
TRUMPUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TRUSTUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TRUTHUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TSTUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
TSUKAUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
TURBOUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
