symbol,daily_bars,minute_rows,edge_class,suggested_setup_name,tp_pct,sl_pct,suggested_leverage_min,suggested_leverage_max,listing_date,mean_ret,std_ret,skew_ret,kurt_ret,max_drawdown_pct,realized_vol_30d_ann,realized_vol_7d_ann,max_single_day_pump_pct,max_single_day_dump_pct,avg_volume,avg_close,volume_return_corr,bt_n_trades,bt_hit_rate,bt_expectancy_pct,bt_max_dd_pct,bt_sharpe_like,bt_dominance_frac,spike_n_events,spike_h5_mean,spike_h5_hitrate,spike_h5_tstat,intraday_robust
4USDT,0,43200,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-10-01,,,,,,,,,,,,,,,,,,,,,,,
67USDT,0,43200,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-11-16,,,,,,,,,,,,,,,,,,,,,,,
ABUSDT,1095,43200,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,,0.003028429371603743,0.08732354341901563,3.3687358273496937,26.399666384460843,-93.93776536976397,0.3239802785134546,0.2251149601725759,136.61263157894737,-26.41261559246231,404753990.6869041,0.0032258596803652973,0.14976049602232389,,,,,,,95.0,31.14039992095544,0.5263157894736842,2.838998554659445,False
ACTUSDT,605,43200,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2024-10-24,-0.001328005811222415,0.15610297052686445,12.572587206679021,252.62469793941392,-98.79689008184691,0.9523500515426337,1.4202368640453764,2080.8406647116326,-57.0217276099629,45717787.45383471,0.09551124132231405,0.2891054072829582,,,,,,,39.0,-2.107106082192489,0.6153846153846154,-0.6577397799370787,False
AEONUSDT,0,43199,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,
AEROBUDUSDT,0,43199,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-01-21,,,,,,,,,,,,,,,,,,,,,,,
AGIUSDT,1095,43198,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2023-04-11,-0.002325203750846525,0.078217101773035,1.398660283075337,12.901093686032198,-99.23269137006338,0.9352233405138624,0.5979830802784156,108.89212827988342,-36.448368898700025,3923426.698009132,0.0965916812785388,0.0927246434445468,,,,,,,94.0,9.607024541877694,0.48936170212765956,2.794061732887437,True
AICUSDT,650,43200,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,,-0.0014445218585113755,0.10852343536321891,1.3265717553695326,6.66303479803388,-97.64710722107515,1.3354489235926863,1.9013448010510505,92.08698770825863,-37.66878815430575,9023906.189153844,0.13506607538461537,0.17014612958054032,,,,,,,62.0,4.853094548632498,0.5806451612903226,1.1364082856594446,True
AIDOGEUSDT,1095,43197,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2023-04-17,-0.002339402673170348,0.08469809687974042,-0.7350134639764883,27.93689813161538,-98.82543589243721,1.1771128140174434,0.6959719559730316,105.4358150069409,-64.50002698181426,3190790242071137.5,1.7287851415525116e-10,0.4952145984437092,,,,,,,94.0,3.4954697251337237,0.5638297872340425,1.048793781462951,True
AIUSDT,0,43197,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-04-29,,,,,,,,,,,,,,,,,,,,,,,
